Original,New
"Level of consideration of synergies and trade-offs (e.g., among nexus elements)",Policy Effectiveness
Diversity of approaches employed to reach targets,Policy Effectiveness
Effectiveness of monitoring and evaluating,Policy Effectiveness
Extent to which management is iterative and adaptive,Policy Effectiveness
Level of consideration of distributional implications,Policy Effectiveness
Clarity and measurability of targets,Policy Effectiveness
Level of alignment with social values and priorities,Policy Effectiveness
Level of alignment with political values and priorities,Policy Effectiveness
Level of alignment with international priorities,Policy Effectiveness
Level of sectoral fragmentation in policy implementation,Policy Effectiveness
Level of common understanding of nexus challenges and opportunities,Policy Effectiveness
Level of tailoring of policies/instruments to specific regional nexus relations,Policy Effectiveness
"Level of complexity (e.g., in dynamics, uncertainty, and policy solutions)",Policy Effectiveness
Spatial scale of implementation,Policy Effectiveness
Temporal scale of implementation,Policy Effectiveness
Level of intergenerational thinking,Policy Effectiveness
Level of participatory governance and social inclusion,Institutional Capacity
Amount and quality of strategic partnerships,Institutional Capacity
Level of participatory and collaborative planning,Institutional Capacity
Level of attention to power asymmetries and redistribution of power,Institutional Capacity
Level of interactions between multiple levels of governance present,Institutional Capacity
Level of coordination among sectors,Institutional Capacity
Characteristics of political systems and political cycles,Institutional Capacity
Effectiveness of actor networks and partnerships,Institutional Capacity
Level of consideration of diversity in institutional and actor values,Institutional Capacity
Level of organisational learning and course correction capability,Institutional Capacity
Level of allignment between institutional arrangements and priorities,Institutional Capacity
Cost,Financial System & Economics
Cost-benefit ratio (including opportunity costs),Financial System & Economics
Level of investments/financing,Financial System & Economics
Adequacy of economic valuation of nature,Financial System & Economics
Level of evaluation of environmental externalities,Financial System & Economics
Level to which property rights are well defined and/or accepted,Financial System & Economics
Level of quantification of spatial heterogeneity in social-ecological costs and benefits,Financial System & Economics
Level of commodification of nature,Financial System & Economics
Level to which financial incentives crowd out other incentives,Financial System & Economics
Ratio of short-term to long-term funding,Financial System & Economics
Extent to which funding is siloed,Financial System & Economics
Level and acceptability of social movements and citizen engagement,Behaviour & Lifestyle
"Nature of habits, beliefs, and values",Behaviour & Lifestyle
Extrent of individual and collective agency and leadership,Behaviour & Lifestyle
Amount and quality of awareness and education,Behaviour & Lifestyle
Ability to implement environmental litigation,Behaviour & Lifestyle
Extent and quality of media coverage,Behaviour & Lifestyle
Level of focus on individual behaviour versus broader systemic change,Behaviour & Lifestyle
Level of ethical concerns about influencing behaviour/lifestyle changes,Behaviour & Lifestyle
Access to technology,Technology & Social Innovation
"Suitability of social/institutional ""structures""",Technology & Social Innovation
Level of technology lock-in/path dependencies,Technology & Social Innovation
Level of access to monitoring systems for integrated monitoring of the nexus,Technology & Social Innovation
Level of trust in technological solutions,Technology & Social Innovation
Availability of natural capital,Material/Non-Material Endowment
Availability of produced capital,Material/Non-Material Endowment
Availability of human capital,Material/Non-Material Endowment
Availability of social capital,Material/Non-Material Endowment
