Original,New
Mismatch of spatial boundaries with nexus interlinkages,(1) Conceptual complexity challenge
Mismatch of institutional boundaries with nexus interlinkages,(3) Governance challenge
Asymmetric power relationships,(3) Governance challenge
Limited institutional cooperation,(3) Governance challenge
Nexus complexity and uncertainty in dynamics over time,(1) Conceptual complexity challenge
Lack of consideration of diverse values,(2) Values and trade-offs challenge
Siloed thinking,(3) Governance challenge
Strong trade-offs among nexus elements,(2) Values and trade-offs challenge
Accountability gaps (roles and responsabilities/mechanisms to ensure social and environmental responsibility),(3) Governance challenge
Maladaptation,(2) Values and trade-offs challenge
In/equitable access and/or sharing of knowledge around success and failures,"(5) Evidence, knowledge, monitoring and scaling challenge"
Seeking novelty and innovation rather than co-design and/or replication of successes,(3) Governance challenge
Lack of suitable metrics / indicators,"(5) Evidence, knowledge, monitoring and scaling challenge"
Difference in timings - elements operate at different timescales,(1) Conceptual complexity challenge
Difference in initial conditions,(1) Conceptual complexity challenge
Difficulty in understanding and defining success in nexus governance / activities,"(5) Evidence, knowledge, monitoring and scaling challenge"
Other,Other
