CovidenceID,Title,PaperType,Region,Scale,Nexus,NChallenge,Gov,Policy,Actors,CrossCut
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Review; Modelling,Western Asia; Southern Europe,Local >1 km² to 100 km² (neighbourhood to municipality),Biodiversity; Food,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments,Multilateral Organisations; Governments,Economic growth
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Review,Southern Europe,National (whole country),Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),NA,Legal and Regulatory Instruments; Economic and Financial Instruments; Other: International conventions,Civil Society; Governments,Energy
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Review; Empirical,Southern Asia,National (whole country),Biodiversity; Climate change; Health; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Community Governance,Legal and Regulatory Instruments,Private; Media; Funders; Civil Society; Academia; NGOs; Governments,Poverty; Indigenous values and knowledge
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Review,Western Europe,National (whole country),Biodiversity; Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments,Regional Organisations; Governments,Economic growth; Energy
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Review; Empirical,Southern Asia,Subnational >100 km² (watershed),Biodiversity; Climate change; Health; Food; Water,NA,Community Governance,Legal and Regulatory Instruments,Civil Society,Equity; Poverty; Indigenous values and knowledge; Other: Soil
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Review; Empirical; Modelling,Southern Asia,Site <1 km² (field to farm),Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,NA,Civil Society; Governments,Energy
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Empirical,Eastern Europe;  Northern Europe; Southern Europe; Western Europe,"Regional (multiple countries, whole continents)",Biodiversity; Climate change; Health; Food; Water,"Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,NA,Private; Civil Society; Academia; IPLCs; NGOs; Regional Organisations,NA
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Empirical,Central Asia; Eastern Europe,Subnational >100 km² (watershed),Biodiversity; Climate change; Food,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,NA,NA,NA
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Modelling,Eastern Asia,Subnational >100 km² (watershed),Biodiversity; Climate change; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),NA,Legal and Regulatory Instruments,Private; Civil Society; Multilateral Organisations; Governments,Economic growth
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Review; Conceptual/theoretical,Latin America and the Caribbean; Northern America; Southern Europe,Subnational >100 km² (watershed),Biodiversity; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),NA,Legal and Regulatory Instruments,Civil Society; Governments,NA
